relativePath,status,raw-egraph,raw-egraph-debruijn,java-egglog,java-egglog-debruijn,slotted-egraph,canonical,typed-slotted-port-egraph
"classroom_fol/correct/Z5RczML253G789Qfy_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/ZAbrryvTkwoa8GW58_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/ZbzSGuAaQW3ty22Tq_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/ZdSi9gBiqPM9gCGKJ_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/ZnRLwYpyyAwngSrfF_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/ZwZm9TCAqRoyov3dm_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/amyg6pPDYcgDocX4R_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/annJMvvX48KMGPXry_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/aprau2HrFYQ3XEtBY_inv12.als","CORRECT",false,true,false,true,true,true,true
"classroom_fol/correct/axbEn2XbqPTh2fNQf_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/b2zkSFbkz6XHasYvW_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/bA4uCN2uwn9dz3eGS_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/bfTWyo7LmLPmhfYvk_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/c8Cs6gzsLuYeDu2bg_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/cY7rSz9a5DBtkPP5P_inv15.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/ccXcpQnmKJ79fWgYc_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/cns7Cxo6QPmp2ijGf_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/ctMjLmpp3wnZGbroj_inv15.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/czdGyppieGu7arTZY_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/dSBtTL7em4y6FpebX_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/dfYDGZ8dCRs5Ya9mf_inv12.als","CORRECT",false,true,false,true,true,true,true
"classroom_fol/correct/dqEq2uTYqyCGKCWHd_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/e4SPoseqJpHqpDc47_inv4.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/e56rjrcpiifLBhMjH_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/e6GCMK39LbCPELHeQ_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/eEmnG8Ym2tDTKJLjC_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/emAr2t4JWLgGXz6us_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/exN5kybaJ5QQvTHFR_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/fJM9GbZyDmopCvWdx_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/fRSMF5fc9ugyYrKwM_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/fS9oLrxowRqAsjnx8_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/fsQKxRKs4BndiPiNh_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/fzWo22wE3YwHYYKQu_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/gKHwC9Nq8nn95GTrS_inv2.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/gNdye2NkeAmJcG4Su_inv1.als","CORRECT",false,false,false,false,false,true,true
"classroom_fol/correct/gS7u3BJW66Yax8RrF_inv1.als","CORRECT",false,false,false,false,false,true,true
