BOP_IMPLIES,BOP_NEQ,1,4
BOP_EQ,UNOPE_CARDINALITY,2,4
BOPEXPR_ARROW,BOPEXPR_JOIN,1,19
BOPEXPR_ARROW,Dummy for sig,2,107
RELDECL_0,UNOPE_ONE,1,19445
UNOPE_CLOSURE,QT_EXPR,1,1
UNOPE_PRIME,BOPEXPR_JOIN,1,21
LIST_FORMULA_1,UNOPF_SOME,1,147
BOP_EQ,Dummy for sig,1,113
ITE_FORMULA,LIST_FORMULA_1,3,48
LIST_FORMULA_1,UNOPF_SOME,4,2
BOP_SINCE,UNOPF_ONE,1,5
QT_FORMULA,UNOPF_LONE,1,850
Dummy for ref,BOP_EQ,1,93
UNOPF_NO,BOPEXPR_DOMAIN,1,5
BOPEXPR_PLUS,BOPEXPR_ARROW,1,4
UNOPF_LONE,Dummy for field,1,10
UNOPF_SOME,BOPEXPR_ARROW,1,42
BOPEXPR_DOMAIN,BOPEXPR_INTERSECT,1,13
BOPEXPR_JOIN,Dummy for field,2,9484
QT_FORMULA,RELDECL_1,2,56
BOP_IN,BOPEXPR_ARROW,2,6
UNOPF_EVENTUALLY,BOP_NEQ,1,18
BOP_NOT_IN,BOPEXPR_JOIN,1,92
LIST_FORMULA_2,ITE_FORMULA,2,48
BOP_NEQ,Dummy for sig,2,14
BOP_GT,0,2,4
LIST_FORMULA_2,BOP_IMPLIES,2,59
UNOPF_LONE,BOPEXPR_MINUS,1,2
UNOPF_ONE,UNOPE_CLOSURE,1,1
LIST_FORMULA_2,BOP_IN,1,368
UNOPE_CARDINALITY,BOPEXPR_JOIN,1,29
Dummy for ref,UNOPF_NOT,1,16
BOP_IMPLIES,LIST_FORMULA_1,2,218
BOP_SINCE,BOP_IN,1,6
BOPEXPR_ONE_ARROW_ONE,Dummy for var,2,4
UNOPE_CLOSURE,Dummy for ref,1,142
BOP_IMPLIES,UNOPF_HISTORICALLY,1,1
UNOPF_EVENTUALLY,UNOPF_SOME,1,29
BOP_RELEASES,BOP_IN,2,1
BOP_EQ,Dummy for var,1,318
QT_FORMULA,LIST_FORMULA_1,1,700
LIST_FORMULA_1,BOP_IMPLIES,1,31
UNOPF_EVENTUALLY,UNOPF_NO,1,52
BOP_IN,BOPEXPR_MINUS,1,133
UNOPF_NO,BOPEXPR_,1,8
UNOPF_EVENTUALLY,BOP_IMPLIES,1,8
BOPEXPR_,BOPEXPR_MINUS,2,2
BOPEXPR_ONE_ARROW_ONE,Dummy for sig,1,1
BOPEXPR_JOIN,BOPEXPR_MINUS,1,16
UNOPF_SOME,Dummy for field,1,23
UNOPF_ALWAYS,UNOPF_SOME,1,9
BOP_IMPLIES,UNOPF_ALWAYS,1,16
RELDECL_0,<END>,4,925
LIST_FORMULA_1,BOP_IN,1,2275
UNOPE_TRANSPOSE,Dummy for field,1,351
BOP_EQ,Dummy for field,2,166
BOP_SINCE,BOP_NOT_IN,2,2
Dummy for ref,BOP_IFF,1,4
LIST_FORMULA_1,BOP_EQ,1,66
QT_FORMULA,UNOPF_ONCE,1,11
BOP_UNTIL,BOP_NOT_IN,1,7
UNOPF_BEFORE,BOP_SINCE,1,1
UNOPF_NO,Dummy for sig,1,274
