relativePath,questionSet,statusFolder,invariantId,levenshteinDistance,rawAstDistance,canonicalDistance,levenshteinSize,rawAstSize,canonicalSize,levenshteinDistanceRatio,rawAstDistanceRatio,canonicalDistanceRatio,candidateReward,rewardError,rewardPoolSize,rewardErrorMessage
"classroom_fol/both/7Qg7t6EMG6YLuvmjy_inv14.als","classroom_fol","BOTH","inv14",47,20,12,106,47,26,0.443396,0.425532,0.461538,0.338100,0.661900,100,
"classroom_fol/both/7R4pXR78SztXTYTmm_inv14.als","classroom_fol","BOTH","inv14",46,17,16,43,20,10,1.069767,0.850000,1.600000,0.145000,0.855000,100,
"classroom_fol/both/7RbfrDhq9Sntm2yJ7_inv12.als","classroom_fol","BOTH","inv12",40,19,9,62,23,11,0.645161,0.826087,0.818182,0.079200,0.920800,100,
"classroom_fol/both/7TYSDPnXqtud3bjku_inv12.als","classroom_fol","BOTH","inv12",54,31,14,109,40,22,0.495413,0.775000,0.636364,0.090000,0.910000,100,
"classroom_fol/both/7ZWjcqFuxDJTd8jgG_inv12.als","classroom_fol","BOTH","inv12",26,18,8,51,23,11,0.509804,0.782609,0.727273,0.237600,0.762400,100,
"classroom_fol/both/7c9GyWK5awXpDo4ax_inv4.als","classroom_fol","BOTH","inv4",5,1,3,54,16,10,0.092593,0.062500,0.300000,0.000000,1.000000,100,
"classroom_fol/both/7equkqtwmrdPwsLfx_inv15.als","classroom_fol","BOTH","inv15",93,44,36,186,51,38,0.500000,0.862745,0.947368,0.010000,0.990000,100,
"classroom_fol/both/7fAwX4G2YRnxA7EiZ_inv11.als","classroom_fol","BOTH","inv11",39,20,15,56,25,11,0.696429,0.800000,1.363636,0.178200,0.821800,100,
"classroom_fol/both/7fWZMaw8vHSDHx3xx_inv3.als","classroom_fol","BOTH","inv3",6,2,2,43,16,10,0.139535,0.125000,0.200000,0.999800,0.000200,100,
"classroom_fol/both/7hN6Hde8uG4JR52Y8_inv12.als","classroom_fol","BOTH","inv12",36,19,8,66,25,11,0.545455,0.760000,0.727273,0.237600,0.762400,100,
